Model,Code
SEQUOIA4DR,430
OUTLANDER4WD,431
EXPEDITION2WD,432
NAVIGATOR,433
9112DR,434
VIBE4DR,435
F-150KING,436
300LIMITED,437
XC60T6,438
CIVICEX-L,439
AVALANCHE2WD,440
F-350XLT,441
EXPLORERBASE,442
MURANOS,443
LXLX,444
EDGESE,445
IMPALALS,446
LAND,447
E-CLASSE320,448
MILAN4DR,449
BOXSTER2DR,450
RAV4,451
EOS2DR,452
SEDONAEX,453
XD5DR,454
COLORADO2WD,455
MONTE,456
ESCAPE4DR,457
LX,458
FIESTAS,459
F-350LARIAT,460
GALANT4DR,461
TT2DR,462
XTERRA4DR,463
SEQUOIALIMITED,464
4RUNNERLIMITED,465
GENESIS,466
SUBURBAN4DR,467
ENCLAVECONVENIENCE,468
LACROSSEAWD,469
VERSA4DR,470
COBALT2DR,471
XC60FWD,472
F-150LIMITED,473
DAKOTA2WD,474
S44DR,475
4RUNNER2WD,476
SEDONA4DR,477
RIDGELINESPORT,478
TSXAUTOMATIC,479
IMPREZASPORT,480
SLK-CLASSSLK350,481
ACCENT4DR,482
CORVETTECONVERTIBLE,483
AVALON4DR,484
PASSAT,485
25002WD,486
EXPLOREREDDIE,487
LIBERTYLIMITED,488
CTS-V,489
4RUNNERTRAIL,490
ECLIPSE3DR,491
AZERA4DR,492
TAHOELS,493
CONTINENTAL,494
XJ4DR,495
FORTESX,496
SEQUOIAPLATINUM,497
FOCUSSEL,498
DURANGO4DR,499
CAMRYBASE,500
XC704DR,501
S804DR,502
ELEMENT4WD,503
YARISLE,504
WRXBASE,505
TLAUTOMATIC,506
AVALONTOURING,507
XK2DR,508
PT,509
PATHFINDERSE,510
300TOURING,511
NAVIGATOR2WD,512
XC60AWD,513
ESCAPELIMITED,514
WRXLIMITED,515
ACCORDSE,516
QX562WD,517
ESCALADE2WD,518
PRIUSONE,519
ELEMENT2WD,520
"EXCURSION137""",521
WRXPREMIUM,522
RX-84DR,523
